Randomizer Version: 4.5.1-HAL
Random Seed: 85825638270474
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> HITMONCHAN     
158|TOTODILE     |ICE/PSYCHIC      |  67|  61|  82|  20|  49|  63|Frisk       | -          |MID |
159|CROCONAW     |POISON           |  71|  79|  75|  48|  69|  84|Air Lock    |No Guard    |BASE|
160|FERALIGATR   |GHOST/POISON     |  55|  84| 112|  62|  71|  73|Filter      |Water Veil  |FULL|TM32 (common), Magnet (rare)
161|SENTRET      |NORMAL           |  33|  30|  13|  10|  62| 101|Effect Spore|Filter      |BASE|
162|FURRET       |GHOST/POISON     |  49| 110|  41| 146|  94| 102|Sturdy      | -          |FULL|
163|HOOTHOOT     |STEEL            |  58|  34|  29|  43|  32|  36|Intimidate  |Gluttony    |BASE|
164|NOCTOWL      |POISON/NORMAL    | 116| 116| 105|  60|  10| 106|Lightningrod| -          |FULL|
165|LEDYBA       |POISON           |  27|  42|  42|  33|  51|  49|Super Luck  |Battle Armor|BASE|TM56 (rare)
166|LEDIAN       |BUG/FIGHTING     | 146|  38| 186| 154| 191| 106|Overgrow    | -          |FULL|
167|SPINARAK     |FIRE/NORMAL      |  64|  60|  27|  45|  28|  49|Super Luck  | -          |BASE|Heart Scale (rare)
168|ARIADOS      |ICE              |  65| 118|  24| 171| 106|  36|Synchronize | -          |FULL|
169|CROBAT       |ELECTRIC         |  77|  61|  84|  51| 103|  89|Pickup      |White Smoke |FULL|Iron Plate (common), TM40 (rare)
170|CHINCHOU     |STEEL            |  32| 108|  35| 104|  87|  41|Filter      | -          |MID |
171|LANTURN      |FIRE             | 103| 174|  12|  58| 157|  14|Speed Boost |Shadow Tag  |FULL|TM62 (common), TM35 (rare)
172|PICHU        |FLYING           |  61|  75|  17|  80|  58|  57|Natural Cure|Shadow Tag  |BASE|Cornn Berry (common)
173|CLEFFA       |BUG/FIRE         |  58|  43|  42|  42|  37|  55|Hydration   | -          |BASE|
174|IGGLYBUFF    |STEEL            |  25|  62|  62|  84|  62| 109|Drought     | -          |BASE|
175|TOGEPI       |NORMAL/STEEL     |  29|  26|  53|  35|  29|  52|Shell Armor |Normalize   |BASE|
176|TOGETIC      |DRAGON           | 101|  20|  43| 103| 101|  15|Sticky Hold | -          |MID |Fire Stone (common)
177|NATU         |FIRE/GRASS       |  65|  34|  72|  45|  45|  44|Rock Head   | -          |BASE|
178|XATU         |GRASS            |  21|  82| 137|  28| 146|  21|Water Veil  |Lightningrod|FULL|TM46 (rare)
179|MAREEP       |BUG              |  31|  19|  52|  42|  51|  10|Mold Breaker|Sand Stream |BASE|
180|FLAAFFY      |DRAGON           |  59|  58|  51|  57|  86|  66|Stall       |Steadfast   |MID |Shed Shell (common), TM62 (rare)
181|AMPHAROS     |FLYING/PSYCHIC   |  39|  63| 169| 108|  29|  92|Magnet Pull |Intimidate  |FULL|
182|BELLOSSOM    |DARK             | 118| 178|  21|  34|  79| 107|Sand Stream | -          |FULL|Star Piece (100%)
183|MARILL       |ROCK             | 123| 129|  61|  33|  10| 111|Motor Drive |No Guard    |MID |BrightPowder (common)
184|AZUMARILL    |BUG/ELECTRIC     |  48| 130|  29|  22|  94| 126|Unaware     |Limber      |FULL|
185|SUDOWOODO    |FLYING           | 141| 114|  43| 145|  83|  25|Gluttony    | -          |FULL|
186|POLITOED     |POISON/NORMAL    |  69|  87|  88|  78|  57|  66|Speed Boost | -          |FULL|Poké Doll (rare)
187|HOPPIP       |FLYING           |  39|  51|  45|  32|  19|  36|Swift Swim  |Dry Skin    |BASE|Blue Scarf (common)
188|SKIPLOOM     |FIGHTING         |  23|  42|  82|  10|  82|  10|Effect Spore| -          |BASE|
189|JUMPLUFF     |DARK/STEEL       |  61|  55|  27|  36| 166|  78|Minus       |Water Veil  |FULL|Aguav Berry (common), PP Max (rare)
190|AIPOM        |GROUND/BUG       |  23|  54|  86|  60|  33|  70|Effect Spore|Limber      |BASE|
191|SUNKERN      |FIGHTING/DARK    |  47|  20|  26|  15|  53|  51|Trace       | -          |BASE|Lucky Punch (rare)
192|SUNFLORA     |FIRE/FLYING      | 102|  91|  23|  45| 122| 126|Minus       |Ice Body    |FULL|Dive Ball (100%)
193|YANMA        |ICE              |  28|  70| 124|  57|  55|  75|Plus        |Early Bird  |MID |
194|WOOPER       |POISON           |  87|  27|  60| 104|  43|  77|Adaptability| -          |MID |
195|QUAGSIRE     |DARK/FLYING      |  23| 121| 227|  28| 102|  45|Solar Power | -          |FULL|
196|ESPEON       |DARK/FIGHTING    | 102|  67| 115|  58|  57| 103|Cloud Nine  | -          |FULL|Nanab Berry (common), Cornn Berry (rare)
197|UMBREON      |FIRE/PSYCHIC     |  20| 129| 134| 117| 123| 135|Technician  |Air Lock    |FULL|Pamtre Berry (common), TM83 (rare)
198|MURKROW      |ICE              |  40|  84|  61|  50|  99| 102|Air Lock    |Lightningrod|MID |Wide Lens (common)
199|SLOWKING     |STEEL/ROCK       |  92| 143| 159|  62|  21| 125|Color Change|Tinted Lens |FULL|
200|MISDREAVUS   |GROUND           |  91|  63|  27|  69|  19|  35|Clear Body  |Air Lock    |MID |
201|UNOWN        |NORMAL           | 148|  21| 133|  39|  78| 166|Stench      |Air Lock    |FULL|
202|WOBBUFFET    |FIGHTING/GRASS   |  44|  85| 112|  41| 142|  55|Steadfast   | -          |FULL|Sky Plate (100%)
203|GIRAFARIG    |FIRE/ICE         | 125|  71| 124|  73|  70|  76|Dry Skin    |Huge Power  |FULL|
204|PINECO       |DRAGON/GHOST     |  98|  88|  19|  69|  13|  78|Rivalry     | -          |MID |
205|FORRETRESS   |POISON           | 114|  15| 126|  12|  76| 120|Honey Gather| -          |FULL|Rindo Berry (rare)
206|DUNSPARCE    |FIRE             |  31| 101|  83|  81|  37|  85|Thick Fat   | -          |FULL|
207|GLIGAR       |GHOST/ROCK       |  20|  12|  10| 119|  84|  24|Shed Skin   | -          |BASE|
208|STEELIX      |GROUND/DARK      | 109|  10| 110|  42| 113| 112|Rough Skin  | -          |FULL|
209|SNUBBULL     |ROCK             | 133|  61|  36|  48| 117|  24|Color Change|Vital Spirit|BASE|Safari Ball (common), X Sp. Def (rare)
210|GRANBULL     |FIGHTING         |  72| 139|  32| 111|  29| 141|Bad Dreams  |Steadfast   |FULL|PP Max (common), Poké Doll (rare)
211|QWILFISH     |GRASS/ICE        |  69|  79| 160|  40|  81|  27|Flash Fire  | -          |FULL|TM75 (100%)
212|SCIZOR       |FIGHTING/POISON  | 169|  20|  61|  99|  79| 167|Solar Power |Torrent     |FULL|
213|SHUCKLE      |PSYCHIC          | 135|  47|  70|  53| 135|  82|Immunity    |Torrent     |FULL|Bubble Mail (common), TM80 (rare)
214|HERACROSS    |GRASS/FIRE       |  30|  32| 104| 109|  38| 132|Clear Body  | -          |FULL|
215|SNEASEL      |GHOST            |  20|  21|  63|  34|  52|  36|Hyper Cutter| -          |BASE|
216|TEDDIURSA    |GRASS            |  34|  10| 103|  77|  75|  61|Guts        |Stall       |BASE|Soft Sand (common), Pinap Berry (rare)
217|URSARING     |GROUND/GRASS     |  30|  27|  75| 130|  96| 114|Mold Breaker| -          |FULL|
218|SLUGMA       |FIGHTING/PSYCHIC |  92|  12|  84|  36|  64|  29|Sniper      | -          |BASE|
219|MAGCARGO     |GROUND           |  57| 150|  39|  91|  66|  28|Marvel Scale|Serene Grace|FULL|Apicot Berry (common)
220|SWINUB       |GROUND           |  82| 105|  98|  27|  16|  44|Anger Point |Volt Absorb |BASE|PP Up (rare)
221|PILOSWINE    |PSYCHIC/GROUND   |  56|  81|  39|  25|  26|  33|Immunity    |Huge Power  |BASE|
222|CORSOLA      |ELECTRIC         |  92|  97| 150|  44|  79|  64|Serene Grace|Cloud Nine  |FULL|
223|REMORAID     |DARK             |  86|  13|  44|  50|  71| 121|Truant      |Cloud Nine  |MID |
224|OCTILLERY    |GHOST            | 119|  82|  61|  60|  51|  95|Natural Cure| -          |FULL|Safari Ball (rare)
225|DELIBIRD     |DARK             | 144|  22| 101| 211|  16| 100|Tinted Lens | -          |FULL|Space Mail (common), TM36 (rare)
226|MANTINE      |FIRE/BUG         |  59| 173|  31|  48|  52| 166|Clear Body  | -          |FULL|Sky Plate (common)
227|SKARMORY     |FLYING           |  53| 135|  89|  16| 134| 103|Huge Power  |Shed Skin   |FULL|
228|HOUNDOUR     |ICE/ELECTRIC     |  45|  53|  42|  21|  93| 102|Magnet Pull | -          |MID |
229|HOUNDOOM     |FIRE             | 153| 176|  91|  15|  53|  31|Overgrow    |Rain Dish   |FULL|
230|KINGDRA      |BUG/WATER        | 115|  66| 117| 119|  93|  15|Thick Fat   |Anger Point |FULL|
231|PHANPY       |ROCK             |  69|  67|  42|  65|  60|  80|Water Veil  | -          |BASE|Power Lens (common)
232|DONPHAN      |NORMAL           | 135|  58|  81|  64|  79|  70|Soundproof  |Mold Breaker|FULL|
233|PORYGON2     |DARK             |  61|  63|  42|  94|  90|  18|Leaf Guard  |Flash Fire  |MID |
234|STANTLER     |GRASS/GHOST      |  59| 154| 128|  37| 163| 102|Ice Body    | -          |FULL|
235|SMEARGLE     |GRASS            |  20|  86| 100| 102| 106|  76|Chlorophyll | -          |FULL|Big Mushroom (common)
236|TYROGUE      |GHOST            | 114| 121|  10|  55|  16|  15|Filter      | -          |BASE|
237|HITMONTOP    |GROUND/STEEL     | 155|  13|  21| 169|  99|  53|Leaf Guard  | -          |FULL|Carbos (rare)
238|SMOOCHUM     |ICE/ELECTRIC     |  53|  32|  18|  50|  59|  58|No Guard    | -          |BASE|Moon Stone (100%)
239|ELEKID       |FIRE             |  38|  34|  39|  53|  10|  32|Rain Dish   |Scrappy     |BASE|
240|MAGBY        |GRASS            |  70|  53|  57|  66|  66|  47|Scrappy     |Natural Cure|BASE|
241|MILTANK      |POISON           | 135|  88| 155|  45| 143| 122|Shield Dust |Technician  |FULL|Shoal Shell (100%)
242|BLISSEY      |FLYING           | 127|  13|  38|  58|  87|  83|Run Away    | -          |FULL|TM26 (common)
243|RAIKOU       |POISON           |  68| 125|  49|  79|  49|  87|Unburden    |Water Veil  |FULL|
244|ENTEI        |DRAGON           | 100|  44| 101|  81|  85|  96|Early Bird  |Battle Armor|FULL|Grepa Berry (common), Pure Incense (rare)
245|SUICUNE      |ICE/BUG          |  73|  97| 167|  50|  77|  35|Poison Point| -          |FULL|Aguav Berry (rare)
246|LARVITAR     |WATER            |  28|  70|  66|  55|  43|  45|Magnet Pull |Tangled Feet|BASE|X Special (common)
247|PUPITAR      |FLYING/GROUND    | 102|  75|  10|  88|  55| 104|Shadow Tag  | -          |BASE|Flame Mail (common)
248|TYRANITAR    |WATER            | 129|  23| 135| 127|  41|  97|Klutz       | -          |FULL|Super Potion (common), TM21 (rare)
249|LUGIA        |STEEL            | 129|  10| 131| 133|  33|  54|Honey Gather|Tangled Feet|FULL|TM26 (common)
250|HO-OH        |DARK/BUG         |  20| 137|  62|  78|  72|  89|Stench      |Sniper      |FULL|Hyper Potion (100%)
251|CELEBI       |GROUND           |  96|  93| 159|  30|  24|  34|Sand Stream | -          |FULL|TM30 (100%)
252|TREECKO      |ICE/WATER        |  70|  34|  71|  99|  71|  73|Thick Fat   | -          |BASE|
253|GROVYLE      |FIGHTING/FIRE    |  44|  49|  18|  47|  40|  30|Sniper      |Hyper Cutter|BASE|
254|SCEPTILE     |GRASS/PSYCHIC    | 106| 121|  38|  20| 131|  31|Anticipation|Aftermath   |FULL|
255|TORCHIC      |ROCK             |  20|  12|  51|  82|  16|  57|Shield Dust | -          |BASE|
256|COMBUSKEN    |STEEL/FIRE       |  42|  44|  21|  43|  42|  42|Chlorophyll | -          |BASE|TM79 (rare)
257|BLAZIKEN     |WATER            | 134| 103| 116|  92| 147|  10|Minus       | -          |FULL|
258|MUDKIP       |ELECTRIC         |  47|  50|  80|  75|  75|  72|Heatproof   | -          |MID |Rindo Berry (rare)
259|MARSHTOMP    |FLYING           | 113|  16| 112|  82|  32|  25|Pure Power  | -          |MID |Nest Ball (rare)
260|SWAMPERT     |GRASS            | 120|  12| 105| 114|  63| 120|Forewarn    |Sand Veil   |FULL|
261|POOCHYENA    |PSYCHIC          |  60|  69|  22|  18|  10|  71|Clear Body  |Cute Charm  |BASE|
262|MIGHTYENA    |ELECTRIC/ROCK    | 140| 109|  68|  41|  46|  48|No Guard    |Forewarn    |FULL|
263|ZIGZAGOON    |PSYCHIC/DRAGON   |  48|  37|  24|  11|  31|  48|Pickup      | -          |BASE|Kebia Berry (common), Adamant Orb (rare)
264|LINOONE      |ROCK/ICE         |  85|  51|  75| 110| 172|  60|Shadow Tag  | -          |FULL|Tanga Berry (common), Aspear Berry (rare)
265|WURMPLE      |STEEL/GRASS      |  35|  55|  63|  16|  27|  38|Reckless    |Torrent     |BASE|
266|SILCOON      |PSYCHIC/STEEL    |  57|  10|  36|  10|  58|  52|Iron Fist   | -          |BASE|TM45 (rare)
267|BEAUTIFLY    |ROCK             |  21| 122|  52| 131| 118| 119|Early Bird  | -          |FULL|Max Potion (common)
268|CASCOON      |PSYCHIC          |  29| 170| 108|  94|  37| 119|Unburden    |Overgrow    |MID |
269|DUSTOX       |GHOST            |  86|  41| 145|  41| 140|  74|Guts        |Compoundeyes|FULL|
270|LOTAD        |DRAGON/ICE       | 105|  79| 103|  10|  49|  97|Poison Point|Own Tempo   |MID |Charcoal (common)
271|LOMBRE       |GHOST/DARK       | 123|  34|  58|  58| 113| 100|Volt Absorb |Keen Eye    |MID |Magnet (100%)
272|LUDICOLO     |DRAGON/GHOST     | 141|  74|  71| 192|  46|  73|Flame Body  | -          |FULL|TM36 (100%)
273|SEEDOT       |FIGHTING/PSYCHIC |  63|  46|  36|  62|  72|  16|Shed Skin   | -          |BASE|
274|NUZLEAF      |PSYCHIC          |  81|  99|  87|  20|  65|  56|Clear Body  | -          |MID |Ultra Ball (common)
275|SHIFTRY      |FLYING           | 129|  63|  13| 152|  27| 147|Quick Feet  | -          |FULL|
276|TAILLOW      |DRAGON           |  42|  87|  65|  67|  99|  65|Poison Heal |Blaze       |MID |
277|SWELLOW      |DRAGON           |  86|  15| 170|  52| 149|  61|Pure Power  |Solid Rock  |FULL|Heart Mail (rare)
278|WINGULL      |DARK             |  44| 100|  39|  52| 105|  59|Color Change|Sniper      |BASE|
279|PELIPPER     |FLYING/ROCK      | 255| 219|  20|  24|  94|  45|Snow Cloak  | -          |FULL|
280|RALTS        |FIGHTING/POISON  |  35|  64|  26|  72|  78|  10|Suction Cups| -          |BASE|Grip Claw (rare)
281|KIRLIA       |DARK             |  52|  31|  35|  26|  45|  54|Anger Point |Technician  |BASE|
282|GARDEVOIR    |ROCK/DARK        | 106|  71|  74|  85| 117|  55|Marvel Scale| -          |FULL|
283|SURSKIT      |ROCK/DRAGON      |  62| 115|  69|  21|  68|  55|Magic Guard | -          |MID |TM33 (rare)
284|MASQUERAIN   |PSYCHIC          |  60|  67|  98|  73| 114|  67|Forewarn    | -          |FULL|
285|SHROOMISH    |GRASS/GHOST      |  75| 117|  97|  98|  17|  38|Shadow Tag  | -          |BASE|TM76 (rare)
286|BRELOOM      |ELECTRIC/PSYCHIC |  86| 131| 116|  36|  76|  43|Water Veil  |Heatproof   |FULL|
287|SLAKOTH      |ELECTRIC/GHOST   |  87|  59|  23|  91|  30|  23|Gluttony    | -          |MID |
288|VIGOROTH     |POISON           |  61|  62|  78|  44|  98| 109|Adaptability|Sniper      |MID |Smoke Ball (common)
289|SLAKING      |NORMAL/GROUND    | 118|  10| 126| 112|  31|  45|Swarm       |Overgrow    |FULL|
290|NINCADA      |BUG              |  45|  25|  45|  67|  41|  60|Klutz       | -          |BASE|Quick Powder (100%)
291|NINJASK      |DRAGON           |  53|  63|  83| 122|  51| 153|Inner Focus | -          |FULL|
292|SHEDINJA     |POISON/FLYING    |   1|  25|  51|  80| 113| 111|Wonder Guard| -          |FULL|Elixir (rare)
293|WHISMUR      |GROUND/DARK      |  82|  54|  55|  74|  45| 114|Effect Spore|Compoundeyes|MID |TM71 (rare)
294|LOUDRED      |PSYCHIC/POISON   |  66|  75|  45|  68|  69|  26|Marvel Scale| -          |BASE|X Sp. Def (rare)
295|EXPLOUD      |NORMAL           |  88|  58| 105|  76|  94| 100|Storm Drain | -          |FULL|Focus Sash (common), Pecha Berry (rare)
296|MAKUHITA     |PSYCHIC/ICE      |  71|  66|  35|  69|  15|  33|Magic Guard |Anticipation|BASE|
297|HARIYAMA     |ROCK/PSYCHIC     |  54| 165|  38|  62|  23| 135|Shed Skin   | -          |FULL|
298|AZURILL      |GHOST/POISON     |  68| 140| 122|  19|  67|  37|Air Lock    |Sniper      |MID |
299|NOSEPASS     |GROUND/STEEL     |  63|  86|  57|  40|  23|  79|Unaware     |Minus       |MID |
300|SKITTY       |WATER/BUG        |  35|  42|  45|  31|  32|  36|Damp        |Early Bird  |BASE|PP Up (rare)
301|DELCATTY     |NORMAL/FIRE      |  96|  73|  29|  63|  81|  78|Thick Fat   | -          |FULL|Spell Tag (common), Poison Barb (rare)
302|SABLEYE      |WATER/ELECTRIC   |  88|  41|  78|  52| 120|  67|Technician  |Water Absorb|FULL|TM77 (common), Heart Scale (rare)
303|MAWILE       |GRASS/ELECTRIC   | 178| 109|  83|  15|  36|  83|Anger Point |Run Away    |FULL|
304|ARON         |DARK/DRAGON      |  94|  42| 127|  91|  45|  32|Torrent     | -          |BASE|
305|LAIRON       |ROCK/NORMAL      |  20|  20|  57|  62|  79|  26|Anticipation| -          |BASE|
306|AGGRON       |ELECTRIC/PSYCHIC |  21|  62|  28| 138| 117|  95|Poison Point|Truant      |FULL|TM19 (rare)
307|MEDITITE     |WATER/NORMAL     |  37|  93|  35|  39|  53| 162|Forewarn    |Minus       |MID |
308|MEDICHAM     |POISON           |  99| 126|  90|  58|  49| 104|Super Luck  |Synchronize |FULL|Air Mail (common)
309|ELECTRIKE    |GRASS            |  59|  17|  76|  59|  30| 114|Flame Body  |Pure Power  |BASE|
310|MANECTRIC    |BUG              |  48| 145|  75| 159|  62| 103|Swift Swim  | -          |FULL|TM63 (common)
311|PLUSLE       |ROCK             |  42| 115|  94| 117|  98|  67|Damp        |Gluttony    |FULL|Dive Ball (common)
312|MINUN        |GHOST            |  95|  21|  91| 100|  93|  92|Speed Boost |Sturdy      |FULL|Poké Doll (common), Snow Mail (rare)
313|VOLBEAT      |ROCK/GHOST       |  38|  54|  49|  84| 106| 113|Swift Swim  |Adaptability|FULL|
314|ILLUMISE     |PSYCHIC          | 117|  56|  71|  54| 213| 171|Thick Fat   | -          |FULL|
315|ROSELIA      |NORMAL           |  54|  30|  65|  28|  62|  49|Liquid Ooze |Sturdy      |BASE|
316|GULPIN       |POISON/FIRE      |  42|  15|  63|  63|  42|  73|Unaware     |Steadfast   |MID |Cheri Berry (common), Haban Berry (rare)
317|SWALOT       |POISON/DARK      |  46|  83|  16|  62| 148| 131|Hyper Cutter| -          |FULL|Metronome (100%)
318|CARVANHA     |NORMAL           |  52|  13| 152|  39|  14| 162|Swift Swim  |Technician  |MID |Max Revive (rare)
319|SHARPEDO     |FIGHTING         |  73|  74|  79|  20| 132|  87|Swarm       |Snow Warning|FULL|Hard Stone (rare)
320|WAILMER      |STEEL            |  74|  43|  42|  58|  58|  66|Suction Cups|Volt Absorb |BASE|Rare Candy (100%)
321|WAILORD      |WATER/ICE        |  90| 144|  36| 114|  55| 106|Rivalry     | -          |FULL|Micle Berry (100%)
322|NUMEL        |ICE              | 173|  13| 193|  32|  18|  27|Pickup      |Shell Armor |MID |Fire Stone (100%)
323|CAMERUPT     |GHOST/DRAGON     |  41|  16|  82| 192| 112|  28|Shield Dust | -          |FULL|TM51 (100%)
324|TORKOAL      |BUG              | 114|  85|  11| 112|  11| 114|Soundproof  |White Smoke |FULL|Metal Coat (rare)
325|SPOINK       |ELECTRIC/GHOST   | 244|  82| 175|  17|  33|  19|Guts        | -          |MID |Heart Mail (common), Elixir (rare)
326|GRUMPIG      |GROUND           |  62| 118|  66| 113|  73|  62|Sturdy      |Scrappy     |FULL|Dome Fossil (rare)
327|SPINDA       |ROCK/PSYCHIC     |  35|  20| 255|  50| 187| 255|Snow Cloak  | -          |FULL|
328|TRAPINCH     |FIRE             |  30|  52|  59|  10|  30|  51|Pressure    | -          |BASE|Moomoo Milk (common)
329|VIBRAVA      |GRASS            |  47| 126|  65|  72|  91|  97|Normalize   | -          |MID |
330|FLYGON       |GRASS            |  62|  14| 179|  78|  17| 121|Tinted Lens |Limber      |FULL|
331|CACNEA       |GRASS            |  30| 138| 108|  55|  30| 156|Compoundeyes|Damp        |MID |Qualot Berry (common)
332|CACTURNE     |FIRE             | 218|  38|  86|  92|  59|  30|Torrent     | -          |FULL|
333|SWABLU       |ICE/FLYING       |  24|  19|  40|  15|  55|  56|Inner Focus | -          |BASE|
334|ALTARIA      |ELECTRIC/BUG     | 119|  28| 157|  90|  59|  53|Scrappy     |Leaf Guard  |FULL|Metronome (common)
335|ZANGOOSE     |GHOST            |  91|  99|  92|  63|  79|  94|Drought     | -          |FULL|Babiri Berry (rare)
336|SEVIPER      |PSYCHIC          | 104|  97|  19| 107|  88|  75|Compoundeyes|Thick Fat   |FULL|TM15 (common)
337|LUNATONE     |STEEL/ELECTRIC   | 149| 106|  16| 122| 113| 138|Air Lock    |Trace       |FULL|TM28 (common), Power Bracer (rare)
